Industry,Type,Name,Link,Description
Accommodation & Food,Restaurant,Competition,https://github.com/klin90/missinglink,Restaurant competitiveness analysis
Accommodation & Food,Restaurant,Business Analysis,https://github.com/nvodoor/RBA,Restaurant business analysis project
Accommodation & Food,Restaurant,Location Recommendation,https://github.com/sanatasy/Restaurant_Risk,Restaurant location recommendation tool and analysis
Accommodation & Food,Restaurant,"Closure, Rating and Recommendation",https://github.com/Lolonon/Restaurant-Analytical-Solution,Three prediction tasks using Yelp data
Accommodation & Food,Restaurant,Anti-recommender,https://github.com/Myau5x/anti-recommender,Find restaurants you don’t want to attend
Accommodation & Food,Restaurant,Menu Analysis,https://github.com/bzjin/menus,Deeper analysis of restaurants through their menus
Accommodation & Food,Restaurant,Menu Recommendation,https://github.com/rphaneendra/Menu-Similarity,NLP to recommend restaurants with similar menus
Accommodation & Food,Restaurant,Food Price,https://gist.github.com/analyticsindiamagazine/f9b2ba171a0eef9ad396ce6f1b83bbbc,Predict food cost
Accommodation & Food,Restaurant,Automated Restaurant Report,https://github.com/firmai/interactive-corporate-report,Automated machine learning company report
Accommodation & Food,Accomodation,Peer-to-Peer Housing,https://github.com/rochiecuevas/shared_accommodations,The effect of peer to peer rentals on housing
Accommodation & Food,Accomodation,Roommate Recommendation,https://github.com/SiddheshAcharekar/Liveright,A system for students seeking roommates
Accommodation & Food,Accomodation,Room Allocation,https://github.com/nus-usp/room-allocation,Room allocation process
Accommodation & Food,Accomodation,Dynamic Pricing,https://github.com/marcotav/hotels,Hotel dynamic pricing calculations
Accommodation & Food,Accomodation,Hotel Similarity,https://github.com/Montclair-State-University-Info368/Assignment-6,Compare brands that directly compete
Accommodation & Food,Accomodation,Hotel Reviews,https://github.com/EliadProject/Hotels-Data-Science,Cluster hotel reviews
Accommodation & Food,Accomodation,Predict Prices,https://github.com/morenobcn/capstone_hotels_arcpy,Predict hotel room rates
Accommodation & Food,Accomodation,Hotels vs Airbnb,https://github.com/morenobcn/hotels_vs_airbnb_proof_of_concept,Comparing the two approaches
Accommodation & Food,Accomodation,Hotel Improvement,https://github.com/argha48/smarthotels,Analyse reviews to suggest hotel improvements
Accommodation & Food,Accomodation,Orders,https://github.com/Hasan330/Order-Cancellation-Prediction-Model,Order cancellation prediction for hotels
Accommodation & Food,Accomodation,Fake Reviews,https://github.com/danielmachinelearning/HotelSpamDetection,Identify whether reviews are fake/spam
Accommodation & Food,Accomodation,Reverse Image Lodging,https://github.com/starfoe/Eye-bnb,Find your preferred lodging by uploading an image
Accounting,Machine Learning,Chart of Acount Prediction,https://github.com/darshankaarki/ml-coa-charging,Using labeled data to suggest the account name for every transaction.
Accounting,Machine Learning,Accounting Anomalies,https://github.com/GitiHubi/deepAI,Using deep-learning frameworks to identify accounting anomalies.
Accounting,Machine Learning,Financial Statement Anomalies,https://github.com/rameshcalamur/fin-stmt-anom,"Detecting anomalies before filing, using R."
Accounting,Machine Learning,Useful Life Prediction (FirmAI),http://www.firmai.org/documents/Aged%20Debtors/,Predict the useful life of assets using sensor observations and feature engineering.
Accounting,Machine Learning,AI Applied to XBRL,https://github.com/Niels-Peter/XBRL-AI,Standardized representation of XBRL into AI and Machine learning.
Accounting,Analytics,Forensic Accounting,https://github.com/mschermann/forensic_accounting,Collection of case studies on forensic accounting using data analysis.
Accounting,Analytics,General Ledger (FirmAI),http://www.firmai.org/documents/General%20Ledger/,Data processing over a general ledger as exported through an accounting system.
Accounting,Analytics,Bullet Graph (FirmAI),http://www.firmai.org/documents/Bullet-Graph-Article/,"Bullet graph visualisation helpful for tracking sales, commission and other performance."
Accounting,Analytics,Aged Debtors (FirmAI),http://www.firmai.org/documents/Aged%20Debtors/,Example analysis to invetigate aged debtors.
Accounting,Analytics,Automated FS XBRL,https://github.com/CharlesHoffmanCPA/charleshoffmanCPA.github.io,"XML Language, however, possibly port analysis into Python."
Accounting,Textual Analysis,Financial Sentiment Analysis,https://github.com/EricHe98/Financial-Statements-Text-Analysis,"Sentiment, distance and proportion analysis for trading signals."
Accounting,Textual Analysis,Extensive NLP,https://github.com/TiesdeKok/Python_NLP_Tutorial/blob/master/NLP_Notebook.ipynb,Comprehensive NLP techniques for accounting research.
Accounting,"Data, Parsing and APIs",EDGAR,https://github.com/TiesdeKok/UW_Python_Camp/blob/master/Materials/Session_5/EDGAR_walkthrough.ipynb,A walk-through in how to obtain EDGAR data.
Accounting,"Data, Parsing and APIs",IRS,http://social-metrics.org/sox/,Acessing and parsing IRS filings.
Accounting,"Data, Parsing and APIs",Financial Corporate,http://raw.rutgers.edu/Corporate%20Financial%20Data.html,Rutgers corporate financial datasets.
Accounting,"Data, Parsing and APIs",Non-financial Corporate,http://raw.rutgers.edu/Non-Financial%20Corporate%20Data.html,Rutgers non-financial corporate dataset.
Accounting,"Data, Parsing and APIs",PDF Parsing,https://github.com/danshorstein/python4cpas/blob/master/03_parsing_pdf_files/AR%20Aging%20-%20working.ipynb,Extracting useful data from PDF documents.
Accounting,"Data, Parsing and APIs",PDF Tabel to Excel,https://github.com/danshorstein/ficpa_article,How to output an excel file from a PDF
Accounting,Research and Articles,Understanding Accounting Analytics,http://social-metrics.org/accountinganalytics/,An article that tackles the importance of accounting analytics
Accounting,Research and Articles,VLFeat,http://www.vlfeat.org/,"VLFeat is an open and portable library of computer vision algorithms, which has Matlab toolbox."
Accounting,Websites,Rutgers Raw,http://raw.rutgers.edu/,Good digital accounting research from Rutgers.
Accounting,Courses,Computer Augmented Accounting,https://www.youtube.com/playlist?list=PLauepKFT6DK8TaNaq_SqZW4LIDJhCkZe2,A video series from Rutgers University looking at the use of computation to improve accounting.
Accounting,Courses,Accounting in a Digital Era,https://www.youtube.com/playlist?list=PLauepKFT6DK8_Xun584UQPPsg1grYkWw0,Another series by Rutgers investigating the effects the digital age will have on accounting.
Agriculture,Economics,Prices,https://github.com/deadskull7/Agricultural-Price-Prediction-and-Visualization-on-Android-App,Agricultural price prediction.
Agriculture,Economics,Prices 2,https://github.com/Vipul115/Statistical-Time-Series-Analysis-on-Agricultural-Commodity-Prices,Agricultural price prediction
Agriculture,Economics,Yield,https://github.com/DFS-UCU/UkrainianAgriculture,Agricultural analysis looking at crop yields in Ukraine
Agriculture,Economics,Recovery,https://github.com/vicelab/slaer,Strategic land use for agriculture and ecosystem recovery
Agriculture,Economics,MPR,https://github.com/gumballhead/mpr,Mandatory Price Reporting data from the USDA's Agricultural Marketing Service
Agriculture,Development,Segmentation,https://github.com/chrieke/InstanceSegmentation_Sentinel2,Agricultural field parcel segmentation using satellite images
Agriculture,Development,Water Table,https://github.com/jfzhang95/LSTM-water-table-depth-prediction,Predicting water table depth in agricultural areas.
Agriculture,Development,Assistant,https://github.com/surajmall/Agriculture-Assistant/tree/master/models,Notebooks from agricultural assistant
Agriculture,Development,Eco-evolutionary,https://github.com/tecoevo/agriculture,Eco-evolutionary dynamics.
Agriculture,Development,Diseases,https://github.com/gauravmunjal13/Agriculture,Identification of crop diseases and pests using Deep Learning framework from the images.
Agriculture,Development,Irrigation and Pest Prediction,https://github.com/divyam3897/agriculture,Analyse irrigation and predict pest likelihood.
Banking & Insurance,Consumer Financial,Loan Acceptance,https://github.com/Paresh3189/Bankruptcy-Prediction-Growth-Modelling,Classification and time-series analysis for loan acceptance.
Banking & Insurance,Consumer Financial,Predict Loan Repayment,https://github.com/Featuretools/predict-loan-repayment,Predict whether a loan will be repaid using automated feature engineering.
Banking & Insurance,Consumer Financial,Loan Eligibility Ranking,https://github.com/RealRadOne/Gyani-The-Loan-Eligibility-Predictor,System to help the banks check if a customer is eligible for a given loan.
Banking & Insurance,Consumer Financial,Home Credit Default (FirmAI),http://www.firmai.org/documents/Aggregator/#each-time-step-takes-30-seconds,Predict home credit default.
Banking & Insurance,Consumer Financial,Mortgage Analytics,https://github.com/abuchowdhury/Mortgage_Bank_Loan_Analtsics/blob/master/Mortgage%20Bank%20Loan%20Analytics.ipynb,Extensive mortgage loan analytics.
Banking & Insurance,Consumer Financial,Credit Approval,https://github.com/IBM-Cloud-DevFest-2018/Data-Science-for-Banking/blob/master/02-CreditCardApprovalModel/CreditCardApprovalModel.ipynb,A system for credit card approval.
Banking & Insurance,Consumer Financial,Loan Risk,https://github.com/Brett777/Predict-Risk,Predictive model to help to reduce charge-offs and losses of loans.
Banking & Insurance,Consumer Financial,Amortisation Schedule (FirmAI),http://www.firmai.org/documents/Amortization%20Schedule/,Simple amortisation schedule in python for personal use.
Banking & Insurance,Consumer Financial,Venmo Data,https://github.com/sa7mon/venmo-data,Venmo trasaction dataset for data analysis/visualization/
Banking & Insurance,Management and Operations,Credit Card,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/blob/master/03_ipy_notebooks/clv_prediction.ipynb,Estimate the CLV of credit card customers.
Banking & Insurance,Management and Operations,Survival Analysis,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/blob/master/01_code/01_02_clv_survival/Survival_Analysis.py,Perform a survival analysis of customers.
Banking & Insurance,Management and Operations,Next Transaction,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/blob/master/01_code/01_02_clv_survival/Customer_NextTransaction_Prediction.py,Deep learning model to predict the transaction amount and days to next transaction.
Banking & Insurance,Management and Operations,Credit Card Churn,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/blob/master/01_code/01_02_clv_survival/Customer_NextTransaction_Prediction.py,Predicting credit card customer churn.
Banking & Insurance,Management and Operations,Bank of England Minutes,https://github.com/sekhansen/mpc_minutes_demo/blob/master/information_retrieval.ipynb,Textual analysis over bank minutes.
Banking & Insurance,Management and Operations,CEO,https://github.com/kaumaron/Data_Science/tree/master/CEO_Compensation,Analysis of CEO compensation.
Banking & Insurance,Valuation,Zillow Prediction,https://github.com/eswar3/Zillow-prediction-models,Zillow valuation prediction as performed on Kaggle.
Banking & Insurance,Valuation,Real Estate,https://github.com/denadai2/real-estate-neighborhood-prediction,Predicting real estate prices from the urban environment
Banking & Insurance,Valuation,Used Car,https://nbviewer.jupyter.org/github/albahnsen/PracticalMachineLearningClass/blob/master/exercises/P1-UsedVehiclePricePrediction.ipynb,Used vehicle price prediction.
Banking & Insurance,Fraud,XGBoost,https://github.com/KSpiliop/Fraud_Detection,Fraud Detection by tuning XGBoost hyper-parameters with Simulated Annealing
Banking & Insurance,Fraud,Fraud Detection Loan in R,https://github.com/longtng/frauddetectionproject/blob/master/A%20Consideration%20Point%20of%20%20Fraud%20Detection%20in%20Bank%20Loans%20Project%20Code.ipynb/,Fraud detection in bank loans.
Banking & Insurance,Fraud,AML Finance Due Diligence,https://github.com/Michaels72/AML-Due-Diligence/blob/master/AML_Finance_DD.ipynb,Search news articles to do finance AML DD.
Banking & Insurance,Fraud,Credit Card Fraud,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/blob/master/03_ipy_notebooks/fraud_detection.ipynb,Detecting credit card fraud.
Banking & Insurance,Insurance and Risk,Car Damage Detective,https://github.com/neokt/car-damage-detective,Assessing car damage with convolution neural networks for a personal auto claims.
Banking & Insurance,Insurance and Risk,Medical Insurance Claims,https://github.com/sharmaroshan/Insurance-Claim-Prediction/blob/master/InsuranceClaim.ipynb,Predicting medical insurance claims.
Banking & Insurance,Insurance and Risk,Claim Denial,https://github.com/slegroux/claimdenial/blob/master/Claim%20Denial.ipynb,Predicting insurance claim denial
Banking & Insurance,Insurance and Risk,Claim Fraud,https://github.com/rshea3/alpha-insurance,Predictive models to determine which automobile claims are fraudulent.
Banking & Insurance,Insurance and Risk,Claims Anomalies,https://github.com/dchannah/fraudhacker,Anomaly detection system for medical insurance claims data.
Banking & Insurance,Insurance and Risk,Actuarial Sciences ®,https://github.com/JSchelldorfer/ActuarialDataScience,A range of actuarial tools in R.
Banking & Insurance,Insurance and Risk,Bank Failure,https://github.com/Shomona/Bank-Failure-Prediction/blob/master/Bank.ipynb,Predicting bank failure.
Banking & Insurance,Insurance and Risk,Risk Management,https://github.com/andrey-lukyanov/Risk-Management,Finance risk engagement course resources.
Banking & Insurance,Insurance and Risk,VaR GaN,https://github.com/hamaadshah/market_risk_gan_keras,Estimate Value-at-Risk for market risk management using Keras and TensorFlow.
Banking & Insurance,Insurance and Risk,Compliance,https://github.com/SaiBiswas/Bank-Grievance-Compliance-Management/blob/master/The%20Main%20File.ipynb,Bank Grievance Compliance Management.
Banking & Insurance,Insurance and Risk,Stress Testing,https://github.com/apbecker/Systemic_Risk/blob/master/Generalized.ipynb,ECB stress testing.
Banking & Insurance,Insurance and Risk,Stress Testing Techniques,https://github.com/kaitai/stress-testing-with-jupyter/blob/master/Playing%20with%20financial%20data%20and%20Python%203.ipynb,A notebook with various stress testing exercises.
Banking & Insurance,Insurance and Risk,Reverse Stress Test,https://github.com/arcadynovosyolov/reverse_stress_testing/blob/master/reverse_stress_testing.ipynb,"Given a portfolio and a predefined loss size, determine which factors stress (scenarios) would lead to that loss"
Banking & Insurance,Insurance and Risk,BoE stress test,https://github.com/Karagul/BoE_stress_test/blob/master/BoE_stress_test_5Y_cummulative_imparment_charge.ipynb,Stress test results and plotting.
Banking & Insurance,Insurance and Risk,Recovery,https://github.com/hkacmaz/Bankin_Recovery/blob/master/Banking_Recovery.ipynb,Recovery of money owed.
Banking & Insurance,Insurance and Risk,Quality Control,https://github.com/mick-zhang/Quality-Control-for-Banking-using-LDA-and-LDA-Mallet,Quality control for banking using LDA
Banking & Insurance,Insurance and Risk,Corporate Credit Rating,https://github.com/govwiki/rating_history,Download and parse credit rating history files that US rating agencies generate
Banking & Insurance,Insurance and Risk,ML Risk,https://github.com/albahnsen/ML_RiskManagement,Applied Machine Learning Risk Management
Banking & Insurance,Physical,Bank Note Fraud Detection,https://github.com/apoorv-goel/Bank-Note-Authentication-Using-DNN-Tensorflow-Classifier-and-RandomForest,Bank Note Authentication Using DNN Tensorflow Classifier and RandomForest.
Banking & Insurance,Physical,ATM Surveillance,https://github.com/shivangchopra11/InfyHack,ATM Surveillance in banks use case.
Biotechnological & Life Sciences,General,Programming,https://github.com/burkesquires/python_biologist,Python Programming for Biologists
Biotechnological & Life Sciences,General,Introduction DL,https://colab.research.google.com/drive/17E4h5aAOioh5DiTo7MZg4hpL6Z_0FyWr,A Primer on Deep Learning in Genomics
Biotechnological & Life Sciences,General,Pose,https://github.com/talmo/leap,Estimating animal poses using DL.
Biotechnological & Life Sciences,General,Privacy,https://github.com/greenelab/SPRINT_gan,Privacy preserving NNs for clinical data sharing.
Biotechnological & Life Sciences,General,Population Genetics,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004845,DL for population genetic inference.
Biotechnological & Life Sciences,General,Bioinformatics Course,https://github.com/ricket-sjtu/bioinformatics,Course materials for Computational Biologyand Bioinformatics
Biotechnological & Life Sciences,General,Applied Stats,https://github.com/waldronlab/AppStatBio,Applied Statistics for High-Throughput Biology
Biotechnological & Life Sciences,General,Scripts,https://github.com/mingzhangyang/Mybiotools,Python scripts for biologists.
Biotechnological & Life Sciences,General,Molecular NN,https://github.com/mitmedialab/Evolutron,A mini-framework to build and train neural networks for molecular biology.
Biotechnological & Life Sciences,General,Systems Biology Simulations,https://github.com/hallba/WritingSimulators,Systems biology practical on writing simulators with F# and Z3
Biotechnological & Life Sciences,General,Cell Movement,https://github.com/jrieke/lstm-biology,LSTM to predict biological cell movement.
Biotechnological & Life Sciences,General,Deepchem,https://github.com/deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology"
Biotechnological & Life Sciences,Sequencing,"DNA, RNA and Protein Sequencing",https://github.com/ehsanasgari/Deep-Proteomics,Anew representation for biological sequences using DL.
Biotechnological & Life Sciences,Sequencing,CNN Sequencing -,https://github.com/budach/pysster,A toolbox for learning motifs from DNA/RNA sequence data using convolutional neural networks
Biotechnological & Life Sciences,Sequencing,NLP Sequencing,https://github.com/hussius/deeplearning-biology,Language transfer learning model for genomics
Biotechnological & Life Sciences,Chemoinformatics and drug discovery,Novel Molecules,https://github.com/HIPS/neural-fingerprint,A convolutional net that can learn features.
Biotechnological & Life Sciences,Chemoinformatics and drug discovery,Automating Chemical Design,https://github.com/aspuru-guzik-group/chemical_vae,Generate new molecules for efficient exploration.
Biotechnological & Life Sciences,Chemoinformatics and drug discovery,GAN drug Discovery,https://github.com/gablg1/ORGAN,A method that combines generative models with reinforcement learning.
Biotechnological & Life Sciences,Chemoinformatics and drug discovery,RL,https://github.com/MarcusOlivecrona/REINVENT,generating compounds predicted to be active against a biological target.
Biotechnological & Life Sciences,Chemoinformatics and drug discovery,One-shot learning,https://github.com/deepchem/deepchem,Python library that aims to make the use of machine-learning in drug discovery straightforward and convenient.
Biotechnological & Life Sciences,Genomics,Jupyter Genomics,https://github.com/k2inno-tech/jupyter-genomics,Collection of computation biology and bioinformatics notebooks.
Biotechnological & Life Sciences,Genomics,Variant calling,https://github.com/google/deepvariant,Correctly identify variations from the reference genome in an individual's DNA.
Biotechnological & Life Sciences,Genomics,Gene Expression Graphs,https://github.com/mila-iqia/gene-graph-conv,Using convolutions on an image.
Biotechnological & Life Sciences,Genomics,Autoencoding Expression,https://github.com/greenelab/adage,Extracting relevant patterns from large sets of gene expression data
Biotechnological & Life Sciences,Genomics,Gene Expression Inference,https://github.com/uci-cbcl/D-GEX,"Predict the expression of specified target genes from a panel of about 1,000 pre-selected “landmark genes”."
Biotechnological & Life Sciences,Genomics,Plant Genomics,https://github.com/widdowquinn/Teaching-EMBL-Plant-Path-Genomics,Presentation and example material for Plant and Pathogen Genomics
Biotechnological & Life Sciences,Life-sciences,Plants Disease,https://github.com/viritaromero/Plant-diseases-classifier,App that detects diseases in plants using a deep learning model.
Biotechnological & Life Sciences,Life-sciences,Leaf Identification,https://github.com/AayushG159/Plant-Leaf-Identification,"Identification of plants through plant leaves on the basis of their shape, color and texture."
Biotechnological & Life Sciences,Life-sciences,Crop Analysis,https://github.com/openalea/eartrack,An imaging library to detect and track future position of ears on maize plants
Biotechnological & Life Sciences,Life-sciences,Seedlings,https://github.com/mfsatya/PlantSeedlings-Classification,Plant Seedlings Classification from kaggle competition
Biotechnological & Life Sciences,Life-sciences,Animal Hierarchy,https://github.com/sacul-git/hierarpy,Package for calculating animal dominance hierarchies.
Biotechnological & Life Sciences,Life-sciences,Animal Identification,https://github.com/A7med01/Deep-learning-for-Animal-Identification,Deep learning for animal identification.
Biotechnological & Life Sciences,Life-sciences,Species,https://github.com/NomaanAhmed/BigData_AnimalSpeciesAnalysis,Big Data analysis of different species of animals
Biotechnological & Life Sciences,Life-sciences,Animal Vocalisations,https://github.com/timsainb/AVGN,A generative network for animal vocalizations
Biotechnological & Life Sciences,Life-sciences,Evolutionary,https://github.com/hardmaru/estool,Evolution Strategies Tool
Biotechnological & Life Sciences,Life-sciences,Glaciers,https://github.com/OGGM/oggm-edu,Educational material about glaciers.
Construction & Engineering,Construction,DL Architecture,https://github.com/carolineh101/deep-learning-architecture,Deep learning classifier and image generator for building architecture.
Construction & Engineering,Construction,Construction Materials,https://github.com/damontallen/Construction-materials,A course on construction materials.
Construction & Engineering,Construction,Bad Actor Risk Model,https://github.com/dariusmehri/Social-Network-Bad-Actor-Risk-Tool,Risk model to improve construction related building safety
Construction & Engineering,Construction,Inspectors,https://github.com/dariusmehri/Geo-Spatial-Risk-Analysis-of-Inspectors,Determine the assigned inspections.
Construction & Engineering,Construction,Corrupt Social Interactions,https://github.com/dariusmehri/Social-Network-Analysis-to-Expose-Corruption,Uncover potential corrupt social interactions between an industry member and the staff at the DOB
Construction & Engineering,Construction,Risk Construction,https://github.com/dariusmehri/Risk-Screening-Tool-to-Predict-Accidents-at-Construction-Sites,Identify high risk construction.
Construction & Engineering,Construction,Facade Risk,https://github.com/dariusmehri/Algorithm-for-Finding-Buildings-with-Facade-Risk,A risk model to predict unsafe facades.
Construction & Engineering,Construction,Staff Levels,https://github.com/dariusmehri/Predicting-Staff-Levels-for-Front-line-Workers,Predicting staff levels for front line workers.
Construction & Engineering,Construction,Injuries,https://github.com/dariusmehri/Topic-Modeling-and-Analysis-of-Building-Related-Injuries,Building related injuries topic modelling.
Construction & Engineering,Construction,Building Violations,https://github.com/dariusmehri/Predictive-Analysis-of-Building-Violations,Predictive analysis of building violations.
Construction & Engineering,Construction,Productivity,https://github.com/dariusmehri/Inspection-Productivity-Analysis-and-Visualization-with-Tableau,Productivity analysis and inspection with Tableau.
Construction & Engineering,Engineering,Structural Analysis,https://github.com/ritchie46/anaStruct,2D Structural Analysis in Python.
Construction & Engineering,Engineering,Structural Engineering,https://github.com/buddyd16/Structural-Engineering,Structural engineering modules.
Construction & Engineering,Engineering,Nusa,https://github.com/JorgeDeLosSantos/nusa,Structural analysis using the finite element method.
Construction & Engineering,Engineering,StructPy,https://github.com/BrianChevalier/StructPy,Structural Analysis Library for Python based on the direct stiffness method
Construction & Engineering,Engineering,Aileron,https://github.com/albiboni/AileronSimulation,Structural analysis of the aileron of a Boeing 737
Construction & Engineering,Engineering,Vibration,https://github.com/vibrationtoolbox/vibration_toolbox,Educational vibration programs.
Construction & Engineering,Engineering,Civil,https://github.com/ebrahimraeyat/Civil,Collection of civil engineering tools in FreeCAD
Construction & Engineering,Engineering,Gestimator,https://github.com/manuvarkey/Gestimator,Simple civil estimation software
Construction & Engineering,Engineering,Fatpack,https://github.com/Gunnstein/fatpack,Functions and classes for fatigue analysis of data series.
Construction & Engineering,Engineering,Pysteel,https://github.com/yajnab/pySteel,Automated design of different steel structure
Construction & Engineering,Engineering,Structural Uncertainty,https://github.com/davidsteinar/structural-uncertainty,Quantifying structural uncertainty with deep learning.
Construction & Engineering,Engineering,Pymech,https://github.com/jellespijker/pymech,A Python module for mechanical engineers
Construction & Engineering,Engineering,Aerospace Engineering,https://github.com/AlvaroMenduina/Jupyter_Notebooks/tree/master/Introduction_Aerospace_Engineering,Astrodynamics and Statistics
Construction & Engineering,Engineering,Interactive Quantum Chemistry,https://github.com/psi4/psi4numpy,Combining Psi4 and Numpy for education and development.
Construction & Engineering,Engineering,Chemical and Process Engineering,https://github.com/CAChemE/learn,Various resources.
Construction & Engineering,Engineering,PyTherm,https://github.com/iurisegtovich/PyTherm-applied-thermodynamics,Applied Thermodynamics
Construction & Engineering,Engineering,Aerogami,https://github.com/kshitizkhanal7/Aerogami,Aerodynamics using planes.
Construction & Engineering,Engineering,Electro geophysics,https://github.com/geoscixyz/em-apps,Interactive applications for electromagnetics in geophysics
Construction & Engineering,Engineering,Graph Signal,https://github.com/mdeff/pygsp_tutorial_graphsip,Graph signal processing tutorial
Construction & Engineering,Engineering,Mechanical Vibrations,https://github.com/DocVaughan/MCHE485---Mechanical-Vibrations,Mechanical Vibrations at the Univsersity of Louisiana.
Construction & Engineering,Engineering,Process Dynamics,https://github.com/OpenChemE/CHBE356,Process Dynamics and Control
Construction & Engineering,Engineering,Battery Life Cycle,https://github.com/rdbraatz/data-driven-prediction-of-battery-cycle-life-before-capacity-degradation,Data driven prediction of batter life cycle.
Construction & Engineering,Engineering,Wind Energy,https://github.com/DTUWindEnergy/Python4WindEnergy,Python for wind energy
Construction & Engineering,Engineering,Energy Use,https://github.com/openeemeter/eemeter/blob/master/scripts/tutorial.ipynb,Standard methods for calculating normalized metered energy consumption
Construction & Engineering,Engineering,Nuclear Radiation,https://github.com/HitarthiShah/Radiation-Data-Analysis,How people are affected by radiations emitted by nuclear power plants
Construction & Engineering,Material Science,Python Materials Genomics,https://github.com/materialsproject/pymatgen/,Robust material analysis code used in a well-established project.
Construction & Engineering,Material Science,Materials Mining,https://github.com/dchannah/materials_mining,Scripts for simulations and analysis of materials.
Construction & Engineering,Material Science,Emmet,https://github.com/materialsproject/emmet,Build databases of material properties.
Construction & Engineering,Material Science,Megnet,https://github.com/materialsvirtuallab/megnet,Graph networks as a ML framework for Molecules and Crystals
Construction & Engineering,Material Science,Atomate,https://github.com/hackingmaterials/atomate,Pre-built workflows for computational material science.
Construction & Engineering,Material Science,Bylaws Compliance,https://github.com/Mehranov/UnderstandingAndPredictingPropertyMaintenanceFines/blob/master/Assignment4_complete.ipynb,Predicting property fines.
Construction & Engineering,Material Science,Asphalt Binder,https://github.com/sierraporta/asphalt_binder,"Construction materials, free energy and chemical composition of asphalt binder."
Construction & Engineering,Material Science,Steel,https://github.com/hbutsuak95/Quality-Optimization-of-Steel,Optimisation of steel.
Construction & Engineering,Material Science,Awesome Materials Informatics,https://github.com/tilde-lab/awesome-materials-informatics,Curated list of known efforts in materials informatics.
Economics,General,Trading Economics API,https://github.com/tradingeconomics/tradingeconomics,Information for 196 countries.
Economics,General,Development Economics,https://github.com/jhconning/Dev-II/tree/master/notebooks,Development microeconomics are written mostly as interactive jupyter notebooks
Economics,General,Applied Econ & Fin,https://github.com/lnsongxf/Applied_Computational_Economics_and_Finance/blob/master/Chapter05.ipynb,Applied Computational Economics and Finance
Economics,General,Macroeconomics,https://github.com/jlperla/ECON407_2018,Topics in macroeconomics with notebook examples.
Economics,Machine Learning,EconML,https://github.com/microsoft/EconML,Automated Learning and Intelligence for Causation and Economics.
Economics,Machine Learning,Auctions,https://github.com/saisrivatsan/deep-opt-auctions,Optimal auctions using deep learning.
Economics,Computational,Quant Econ,https://github.com/jstac/quantecon_nyu_2016,Quantitative economics course by NYU
Economics,Computational,Computational,https://github.com/zhentaoshi/econ5170,Computational methods in economics.
Economics,Computational,Computational 2,https://github.com/QuantEcon/columbia_mini_course,Small course in computational economics.
