Row,Industry,Type,Name,Link,Description,Duplicate,Base_URL
24,Accommodation & Food,Restaurant,Menu Recommendation,https://github.com/rphaneendra/Menu-Similarity,NLP to recommend restaurants with similar menus,False,https://github.com/rphaneendra/Menu-Similarity
25,Accommodation & Food,Restaurant,Food Price,https://gist.github.com/analyticsindiamagazine/f9b2ba171a0eef9ad396ce6f1b83bbbc,Predict food cost,False,https://gist.github.com/analyticsindiamagazine/f9b2ba171a0eef9ad396ce6f1b83bbbc
26,Accommodation & Food,Restaurant,Automated Restaurant Report,https://github.com/firmai/interactive-corporate-report,Automated machine learning company report,False,https://github.com/firmai/interactive-corporate-report
27,Accommodation & Food,Accomodation,Peer-to-Peer Housing,https://github.com/rochiecuevas/shared_accommodations,The effect of peer to peer rentals on housing,False,https://github.com/rochiecuevas/shared_accommodations
28,Accommodation & Food,Accomodation,Roommate Recommendation,https://github.com/SiddheshAcharekar/Liveright,A system for students seeking roommates,False,https://github.com/SiddheshAcharekar/Liveright
29,Accommodation & Food,Accomodation,Room Allocation,https://github.com/nus-usp/room-allocation,Room allocation process,False,https://github.com/nus-usp/room-allocation
30,Accommodation & Food,Accomodation,Dynamic Pricing,https://github.com/marcotav/hotels,Hotel dynamic pricing calculations,False,https://github.com/marcotav/hotels
31,Accommodation & Food,Accomodation,Hotel Similarity,https://github.com/Montclair-State-University-Info368/Assignment-6,Compare brands that directly compete,False,https://github.com/Montclair-State-University-Info368/Assignment-6
32,Accommodation & Food,Accomodation,Hotel Reviews,https://github.com/EliadProject/Hotels-Data-Science,Cluster hotel reviews,False,https://github.com/EliadProject/Hotels-Data-Science
33,Accommodation & Food,Accomodation,Predict Prices,https://github.com/morenobcn/capstone_hotels_arcpy,Predict hotel room rates,False,https://github.com/morenobcn/capstone_hotels_arcpy
34,Accommodation & Food,Accomodation,Hotels vs Airbnb,https://github.com/morenobcn/hotels_vs_airbnb_proof_of_concept,Comparing the two approaches,False,https://github.com/morenobcn/hotels_vs_airbnb_proof_of_concept
35,Accommodation & Food,Accomodation,Hotel Improvement,https://github.com/argha48/smarthotels,Analyse reviews to suggest hotel improvements,False,https://github.com/argha48/smarthotels
36,Accommodation & Food,Accomodation,Orders,https://github.com/Hasan330/Order-Cancellation-Prediction-Model,Order cancellation prediction for hotels,False,https://github.com/Hasan330/Order-Cancellation-Prediction-Model
37,Accommodation & Food,Accomodation,Fake Reviews,https://github.com/danielmachinelearning/HotelSpamDetection,Identify whether reviews are fake/spam,False,https://github.com/danielmachinelearning/HotelSpamDetection
38,Accommodation & Food,Accomodation,Reverse Image Lodging,https://github.com/starfoe/Eye-bnb,Find your preferred lodging by uploading an image,False,https://github.com/starfoe/Eye-bnb
39,Accounting,Machine Learning,Chart of Acount Prediction,https://github.com/darshankaarki/ml-coa-charging,Using labeled data to suggest the account name for every transaction.,False,https://github.com/darshankaarki/ml-coa-charging
40,Accounting,Machine Learning,Accounting Anomalies,https://github.com/GitiHubi/deepAI,Using deep-learning frameworks to identify accounting anomalies.,False,https://github.com/GitiHubi/deepAI
41,Accounting,Machine Learning,Financial Statement Anomalies,https://github.com/rameshcalamur/fin-stmt-anom,"Detecting anomalies before filing, using R.",False,https://github.com/rameshcalamur/fin-stmt-anom
42,Accounting,Machine Learning,Useful Life Prediction (FirmAI),http://www.firmai.org/documents/Aged%20Debtors/,Predict the useful life of assets using sensor observations and feature engineering.,False,http://www.firmai.org/documents/Aged%20Debtors/
43,Accounting,Machine Learning,AI Applied to XBRL,https://github.com/Niels-Peter/XBRL-AI,Standardized representation of XBRL into AI and Machine learning.,False,https://github.com/Niels-Peter/XBRL-AI
44,Accounting,Analytics,Forensic Accounting,https://github.com/mschermann/forensic_accounting,Collection of case studies on forensic accounting using data analysis.,False,https://github.com/mschermann/forensic_accounting
45,Accounting,Analytics,General Ledger (FirmAI),http://www.firmai.org/documents/General%20Ledger/,Data processing over a general ledger as exported through an accounting system.,False,http://www.firmai.org/documents/General%20Ledger/
46,Accounting,Analytics,Bullet Graph (FirmAI),http://www.firmai.org/documents/Bullet-Graph-Article/,"Bullet graph visualisation helpful for tracking sales, commission and other performance.",False,http://www.firmai.org/documents/Bullet-Graph-Article/
47,Accounting,Analytics,Aged Debtors (FirmAI),http://www.firmai.org/documents/Aged%20Debtors/,Example analysis to invetigate aged debtors.,True,http://www.firmai.org/documents/Aged%20Debtors/
48,Accounting,Analytics,Automated FS XBRL,https://github.com/CharlesHoffmanCPA/charleshoffmanCPA.github.io,"XML Language, however, possibly port analysis into Python.",False,https://github.com/CharlesHoffmanCPA/charleshoffmanCPA.github.io
49,Accounting,Textual Analysis,Financial Sentiment Analysis,https://github.com/EricHe98/Financial-Statements-Text-Analysis,"Sentiment, distance and proportion analysis for trading signals.",False,https://github.com/EricHe98/Financial-Statements-Text-Analysis
50,Accounting,Textual Analysis,Extensive NLP,https://github.com/TiesdeKok/Python_NLP_Tutorial/blob/master/NLP_Notebook.ipynb,Comprehensive NLP techniques for accounting research.,False,https://github.com/TiesdeKok/Python_NLP_Tutorial/
51,Accounting,"Data, Parsing and APIs",EDGAR,https://github.com/TiesdeKok/UW_Python_Camp/blob/master/Materials/Session_5/EDGAR_walkthrough.ipynb,A walk-through in how to obtain EDGAR data.,False,https://github.com/TiesdeKok/UW_Python_Camp/
52,Accounting,"Data, Parsing and APIs",IRS,http://social-metrics.org/sox/,Acessing and parsing IRS filings.,False,http://social-metrics.org/sox/
53,Accounting,"Data, Parsing and APIs",Financial Corporate,http://raw.rutgers.edu/Corporate%20Financial%20Data.html,Rutgers corporate financial datasets.,False,http://raw.rutgers.edu/Corporate%20Financial%20Data.html
54,Accounting,"Data, Parsing and APIs",Non-financial Corporate,http://raw.rutgers.edu/Non-Financial%20Corporate%20Data.html,Rutgers non-financial corporate dataset.,False,http://raw.rutgers.edu/Non-Financial%20Corporate%20Data.html
55,Accounting,"Data, Parsing and APIs",PDF Parsing,https://github.com/danshorstein/python4cpas/blob/master/03_parsing_pdf_files/AR%20Aging%20-%20working.ipynb,Extracting useful data from PDF documents.,False,https://github.com/danshorstein/python4cpas/
56,Accounting,"Data, Parsing and APIs",PDF Tabel to Excel,https://github.com/danshorstein/ficpa_article,How to output an excel file from a PDF,False,https://github.com/danshorstein/ficpa_article
57,Accounting,Research and Articles,Understanding Accounting Analytics,http://social-metrics.org/accountinganalytics/,An article that tackles the importance of accounting analytics,False,http://social-metrics.org/accountinganalytics/
58,Accounting,Research and Articles,VLFeat,http://www.vlfeat.org/,"VLFeat is an open and portable library of computer vision algorithms, which has Matlab toolbox.",False,http://www.vlfeat.org/
59,Accounting,Websites,Rutgers Raw,http://raw.rutgers.edu/,Good digital accounting research from Rutgers.,False,http://raw.rutgers.edu/
60,Accounting,Courses,Computer Augmented Accounting,https://www.youtube.com/playlist?list=PLauepKFT6DK8TaNaq_SqZW4LIDJhCkZe2,A video series from Rutgers University looking at the use of computation to improve accounting.,False,https://www.youtube.com/playlist?list=PLauepKFT6DK8TaNaq_SqZW4LIDJhCkZe2
61,Accounting,Courses,Accounting in a Digital Era,https://www.youtube.com/playlist?list=PLauepKFT6DK8_Xun584UQPPsg1grYkWw0,Another series by Rutgers investigating the effects the digital age will have on accounting.,False,https://www.youtube.com/playlist?list=PLauepKFT6DK8_Xun584UQPPsg1grYkWw0
62,Agriculture,Economics,Prices,https://github.com/deadskull7/Agricultural-Price-Prediction-and-Visualization-on-Android-App,Agricultural price prediction.,False,https://github.com/deadskull7/Agricultural-Price-Prediction-and-Visualization-on-Android-App
63,Agriculture,Economics,Prices 2,https://github.com/Vipul115/Statistical-Time-Series-Analysis-on-Agricultural-Commodity-Prices,Agricultural price prediction,False,https://github.com/Vipul115/Statistical-Time-Series-Analysis-on-Agricultural-Commodity-Prices
64,Agriculture,Economics,Yield,https://github.com/DFS-UCU/UkrainianAgriculture,Agricultural analysis looking at crop yields in Ukraine,False,https://github.com/DFS-UCU/UkrainianAgriculture
65,Agriculture,Economics,Recovery,https://github.com/vicelab/slaer,Strategic land use for agriculture and ecosystem recovery,False,https://github.com/vicelab/slaer
66,Agriculture,Economics,MPR,https://github.com/gumballhead/mpr,Mandatory Price Reporting data from the USDA's Agricultural Marketing Service,False,https://github.com/gumballhead/mpr
67,Agriculture,Development,Segmentation,https://github.com/chrieke/InstanceSegmentation_Sentinel2,Agricultural field parcel segmentation using satellite images,False,https://github.com/chrieke/InstanceSegmentation_Sentinel2
68,Agriculture,Development,Water Table,https://github.com/jfzhang95/LSTM-water-table-depth-prediction,Predicting water table depth in agricultural areas.,False,https://github.com/jfzhang95/LSTM-water-table-depth-prediction
69,Agriculture,Development,Assistant,https://github.com/surajmall/Agriculture-Assistant/tree/master/models,Notebooks from agricultural assistant,False,https://github.com/surajmall/Agriculture-Assistant/
70,Agriculture,Development,Eco-evolutionary,https://github.com/tecoevo/agriculture,Eco-evolutionary dynamics.,False,https://github.com/tecoevo/agriculture
71,Agriculture,Development,Diseases,https://github.com/gauravmunjal13/Agriculture,Identification of crop diseases and pests using Deep Learning framework from the images.,False,https://github.com/gauravmunjal13/Agriculture
72,Agriculture,Development,Irrigation and Pest Prediction,https://github.com/divyam3897/agriculture,Analyse irrigation and predict pest likelihood.,False,https://github.com/divyam3897/agriculture
73,Banking & Insurance,Consumer Financial,Loan Acceptance,https://github.com/Paresh3189/Bankruptcy-Prediction-Growth-Modelling,Classification and time-series analysis for loan acceptance.,False,https://github.com/Paresh3189/Bankruptcy-Prediction-Growth-Modelling
74,Banking & Insurance,Consumer Financial,Predict Loan Repayment,https://github.com/Featuretools/predict-loan-repayment,Predict whether a loan will be repaid using automated feature engineering.,False,https://github.com/Featuretools/predict-loan-repayment
75,Banking & Insurance,Consumer Financial,Loan Eligibility Ranking,https://github.com/RealRadOne/Gyani-The-Loan-Eligibility-Predictor,System to help the banks check if a customer is eligible for a given loan.,False,https://github.com/RealRadOne/Gyani-The-Loan-Eligibility-Predictor
76,Banking & Insurance,Consumer Financial,Home Credit Default (FirmAI),http://www.firmai.org/documents/Aggregator/#each-time-step-takes-30-seconds,Predict home credit default.,False,http://www.firmai.org/documents/Aggregator/#each-time-step-takes-30-seconds
77,Banking & Insurance,Consumer Financial,Mortgage Analytics,https://github.com/abuchowdhury/Mortgage_Bank_Loan_Analtsics/blob/master/Mortgage%20Bank%20Loan%20Analytics.ipynb,Extensive mortgage loan analytics.,False,https://github.com/abuchowdhury/Mortgage_Bank_Loan_Analtsics/
78,Banking & Insurance,Consumer Financial,Credit Approval,https://github.com/IBM-Cloud-DevFest-2018/Data-Science-for-Banking/blob/master/02-CreditCardApprovalModel/CreditCardApprovalModel.ipynb,A system for credit card approval.,False,https://github.com/IBM-Cloud-DevFest-2018/Data-Science-for-Banking/
79,Banking & Insurance,Consumer Financial,Loan Risk,https://github.com/Brett777/Predict-Risk,Predictive model to help to reduce charge-offs and losses of loans.,False,https://github.com/Brett777/Predict-Risk
80,Banking & Insurance,Consumer Financial,Amortisation Schedule (FirmAI),http://www.firmai.org/documents/Amortization%20Schedule/,Simple amortisation schedule in python for personal use.,False,http://www.firmai.org/documents/Amortization%20Schedule/
81,Banking & Insurance,Consumer Financial,Venmo Data,https://github.com/sa7mon/venmo-data,Venmo trasaction dataset for data analysis/visualization/,False,https://github.com/sa7mon/venmo-data
82,Banking & Insurance,Management and Operations,Credit Card,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/blob/master/03_ipy_notebooks/clv_prediction.ipynb,Estimate the CLV of credit card customers.,False,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/
83,Banking & Insurance,Management and Operations,Survival Analysis,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/blob/master/01_code/01_02_clv_survival/Survival_Analysis.py,Perform a survival analysis of customers.,False,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/
84,Banking & Insurance,Management and Operations,Next Transaction,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/blob/master/01_code/01_02_clv_survival/Customer_NextTransaction_Prediction.py,Deep learning model to predict the transaction amount and days to next transaction.,False,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/
85,Banking & Insurance,Management and Operations,Credit Card Churn,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/blob/master/01_code/01_02_clv_survival/Customer_NextTransaction_Prediction.py,Predicting credit card customer churn.,True,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/
86,Banking & Insurance,Management and Operations,Bank of England Minutes,https://github.com/sekhansen/mpc_minutes_demo/blob/master/information_retrieval.ipynb,Textual analysis over bank minutes.,False,https://github.com/sekhansen/mpc_minutes_demo/
87,Banking & Insurance,Management and Operations,CEO,https://github.com/kaumaron/Data_Science/tree/master/CEO_Compensation,Analysis of CEO compensation.,False,https://github.com/kaumaron/Data_Science/
88,Banking & Insurance,Valuation,Zillow Prediction,https://github.com/eswar3/Zillow-prediction-models,Zillow valuation prediction as performed on Kaggle.,False,https://github.com/eswar3/Zillow-prediction-models
89,Banking & Insurance,Valuation,Real Estate,https://github.com/denadai2/real-estate-neighborhood-prediction,Predicting real estate prices from the urban environment,False,https://github.com/denadai2/real-estate-neighborhood-prediction
90,Banking & Insurance,Valuation,Used Car,https://nbviewer.jupyter.org/github/albahnsen/PracticalMachineLearningClass/blob/master/exercises/P1-UsedVehiclePricePrediction.ipynb,Used vehicle price prediction.,False,https://nbviewer.jupyter.org/github/albahnsen/PracticalMachineLearningClass/blob/master/exercises/P1-UsedVehiclePricePrediction.ipynb
91,Banking & Insurance,Fraud,XGBoost,https://github.com/KSpiliop/Fraud_Detection,Fraud Detection by tuning XGBoost hyper-parameters with Simulated Annealing,False,https://github.com/KSpiliop/Fraud_Detection
92,Banking & Insurance,Fraud,Fraud Detection Loan in R,https://github.com/longtng/frauddetectionproject/blob/master/A%20Consideration%20Point%20of%20%20Fraud%20Detection%20in%20Bank%20Loans%20Project%20Code.ipynb/,Fraud detection in bank loans.,False,https://github.com/longtng/frauddetectionproject/
93,Banking & Insurance,Fraud,AML Finance Due Diligence,https://github.com/Michaels72/AML-Due-Diligence/blob/master/AML_Finance_DD.ipynb,Search news articles to do finance AML DD.,False,https://github.com/Michaels72/AML-Due-Diligence/
94,Banking & Insurance,Fraud,Credit Card Fraud,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/blob/master/03_ipy_notebooks/fraud_detection.ipynb,Detecting credit card fraud.,False,https://github.com/am-aditya/Artificial-Intelligence-for-Banking/
95,Banking & Insurance,Insurance and Risk,Car Damage Detective,https://github.com/neokt/car-damage-detective,Assessing car damage with convolution neural networks for a personal auto claims.,False,https://github.com/neokt/car-damage-detective
96,Banking & Insurance,Insurance and Risk,Medical Insurance Claims,https://github.com/sharmaroshan/Insurance-Claim-Prediction/blob/master/InsuranceClaim.ipynb,Predicting medical insurance claims.,False,https://github.com/sharmaroshan/Insurance-Claim-Prediction/
97,Banking & Insurance,Insurance and Risk,Claim Denial,https://github.com/slegroux/claimdenial/blob/master/Claim%20Denial.ipynb,Predicting insurance claim denial,False,https://github.com/slegroux/claimdenial/
98,Banking & Insurance,Insurance and Risk,Claim Fraud,https://github.com/rshea3/alpha-insurance,Predictive models to determine which automobile claims are fraudulent.,False,https://github.com/rshea3/alpha-insurance
99,Banking & Insurance,Insurance and Risk,Claims Anomalies,https://github.com/dchannah/fraudhacker,Anomaly detection system for medical insurance claims data.,False,https://github.com/dchannah/fraudhacker
100,Banking & Insurance,Insurance and Risk,Actuarial Sciences ®,https://github.com/JSchelldorfer/ActuarialDataScience,A range of actuarial tools in R.,False,https://github.com/JSchelldorfer/ActuarialDataScience
101,Banking & Insurance,Insurance and Risk,Bank Failure,https://github.com/Shomona/Bank-Failure-Prediction/blob/master/Bank.ipynb,Predicting bank failure.,False,https://github.com/Shomona/Bank-Failure-Prediction/
102,Banking & Insurance,Insurance and Risk,Risk Management,https://github.com/andrey-lukyanov/Risk-Management,Finance risk engagement course resources.,False,https://github.com/andrey-lukyanov/Risk-Management
103,Banking & Insurance,Insurance and Risk,VaR GaN,https://github.com/hamaadshah/market_risk_gan_keras,Estimate Value-at-Risk for market risk management using Keras and TensorFlow.,False,https://github.com/hamaadshah/market_risk_gan_keras
104,Banking & Insurance,Insurance and Risk,Compliance,https://github.com/SaiBiswas/Bank-Grievance-Compliance-Management/blob/master/The%20Main%20File.ipynb,Bank Grievance Compliance Management.,False,https://github.com/SaiBiswas/Bank-Grievance-Compliance-Management/
105,Banking & Insurance,Insurance and Risk,Stress Testing,https://github.com/apbecker/Systemic_Risk/blob/master/Generalized.ipynb,ECB stress testing.,False,https://github.com/apbecker/Systemic_Risk/
106,Banking & Insurance,Insurance and Risk,Stress Testing Techniques,https://github.com/kaitai/stress-testing-with-jupyter/blob/master/Playing%20with%20financial%20data%20and%20Python%203.ipynb,A notebook with various stress testing exercises.,False,https://github.com/kaitai/stress-testing-with-jupyter/
107,Banking & Insurance,Insurance and Risk,Reverse Stress Test,https://github.com/arcadynovosyolov/reverse_stress_testing/blob/master/reverse_stress_testing.ipynb,"Given a portfolio and a predefined loss size, determine which factors stress (scenarios) would lead to that loss",False,https://github.com/arcadynovosyolov/reverse_stress_testing/
108,Banking & Insurance,Insurance and Risk,BoE stress test,https://github.com/Karagul/BoE_stress_test/blob/master/BoE_stress_test_5Y_cummulative_imparment_charge.ipynb,Stress test results and plotting.,False,https://github.com/Karagul/BoE_stress_test/
109,Banking & Insurance,Insurance and Risk,Recovery,https://github.com/hkacmaz/Bankin_Recovery/blob/master/Banking_Recovery.ipynb,Recovery of money owed.,False,https://github.com/hkacmaz/Bankin_Recovery/
110,Banking & Insurance,Insurance and Risk,Quality Control,https://github.com/mick-zhang/Quality-Control-for-Banking-using-LDA-and-LDA-Mallet,Quality control for banking using LDA,False,https://github.com/mick-zhang/Quality-Control-for-Banking-using-LDA-and-LDA-Mallet
111,Banking & Insurance,Insurance and Risk,Corporate Credit Rating,https://github.com/govwiki/rating_history,Download and parse credit rating history files that US rating agencies generate,False,https://github.com/govwiki/rating_history
112,Banking & Insurance,Insurance and Risk,ML Risk,https://github.com/albahnsen/ML_RiskManagement,Applied Machine Learning Risk Management,False,https://github.com/albahnsen/ML_RiskManagement
113,Banking & Insurance,Physical,Bank Note Fraud Detection,https://github.com/apoorv-goel/Bank-Note-Authentication-Using-DNN-Tensorflow-Classifier-and-RandomForest,Bank Note Authentication Using DNN Tensorflow Classifier and RandomForest.,False,https://github.com/apoorv-goel/Bank-Note-Authentication-Using-DNN-Tensorflow-Classifier-and-RandomForest
114,Banking & Insurance,Physical,ATM Surveillance,https://github.com/shivangchopra11/InfyHack,ATM Surveillance in banks use case.,False,https://github.com/shivangchopra11/InfyHack
115,Biotechnological & Life Sciences,General,Programming,https://github.com/burkesquires/python_biologist,Python Programming for Biologists,False,https://github.com/burkesquires/python_biologist
116,Biotechnological & Life Sciences,General,Introduction DL,https://colab.research.google.com/drive/17E4h5aAOioh5DiTo7MZg4hpL6Z_0FyWr,A Primer on Deep Learning in Genomics,False,https://colab.research.google.com/drive/17E4h5aAOioh5DiTo7MZg4hpL6Z_0FyWr
117,Biotechnological & Life Sciences,General,Pose,https://github.com/talmo/leap,Estimating animal poses using DL.,False,https://github.com/talmo/leap
118,Biotechnological & Life Sciences,General,Privacy,https://github.com/greenelab/SPRINT_gan,Privacy preserving NNs for clinical data sharing.,False,https://github.com/greenelab/SPRINT_gan
119,Biotechnological & Life Sciences,General,Population Genetics,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004845,DL for population genetic inference.,False,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004845
120,Biotechnological & Life Sciences,General,Bioinformatics Course,https://github.com/ricket-sjtu/bioinformatics,Course materials for Computational Biologyand Bioinformatics,False,https://github.com/ricket-sjtu/bioinformatics
121,Biotechnological & Life Sciences,General,Applied Stats,https://github.com/waldronlab/AppStatBio,Applied Statistics for High-Throughput Biology,False,https://github.com/waldronlab/AppStatBio
122,Biotechnological & Life Sciences,General,Scripts,https://github.com/mingzhangyang/Mybiotools,Python scripts for biologists.,False,https://github.com/mingzhangyang/Mybiotools
123,Biotechnological & Life Sciences,General,Molecular NN,https://github.com/mitmedialab/Evolutron,A mini-framework to build and train neural networks for molecular biology.,False,https://github.com/mitmedialab/Evolutron
124,Biotechnological & Life Sciences,General,Systems Biology Simulations,https://github.com/hallba/WritingSimulators,Systems biology practical on writing simulators with F# and Z3,False,https://github.com/hallba/WritingSimulators
125,Biotechnological & Life Sciences,General,Cell Movement,https://github.com/jrieke/lstm-biology,LSTM to predict biological cell movement.,False,https://github.com/jrieke/lstm-biology
126,Biotechnological & Life Sciences,General,Deepchem,https://github.com/deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology",False,https://github.com/deepchem/deepchem
127,Biotechnological & Life Sciences,Sequencing,"DNA, RNA and Protein Sequencing",https://github.com/ehsanasgari/Deep-Proteomics,Anew representation for biological sequences using DL.,False,https://github.com/ehsanasgari/Deep-Proteomics
128,Biotechnological & Life Sciences,Sequencing,CNN Sequencing -,https://github.com/budach/pysster,A toolbox for learning motifs from DNA/RNA sequence data using convolutional neural networks,False,https://github.com/budach/pysster
129,Biotechnological & Life Sciences,Sequencing,NLP Sequencing,https://github.com/hussius/deeplearning-biology,Language transfer learning model for genomics,False,https://github.com/hussius/deeplearning-biology
130,Biotechnological & Life Sciences,Chemoinformatics and drug discovery,Novel Molecules,https://github.com/HIPS/neural-fingerprint,A convolutional net that can learn features.,False,https://github.com/HIPS/neural-fingerprint
131,Biotechnological & Life Sciences,Chemoinformatics and drug discovery,Automating Chemical Design,https://github.com/aspuru-guzik-group/chemical_vae,Generate new molecules for efficient exploration.,False,https://github.com/aspuru-guzik-group/chemical_vae
132,Biotechnological & Life Sciences,Chemoinformatics and drug discovery,GAN drug Discovery,https://github.com/gablg1/ORGAN,A method that combines generative models with reinforcement learning.,False,https://github.com/gablg1/ORGAN
133,Biotechnological & Life Sciences,Chemoinformatics and drug discovery,RL,https://github.com/MarcusOlivecrona/REINVENT,generating compounds predicted to be active against a biological target.,False,https://github.com/MarcusOlivecrona/REINVENT
134,Biotechnological & Life Sciences,Chemoinformatics and drug discovery,One-shot learning,https://github.com/deepchem/deepchem,Python library that aims to make the use of machine-learning in drug discovery straightforward and convenient.,True,https://github.com/deepchem/deepchem
135,Biotechnological & Life Sciences,Genomics,Jupyter Genomics,https://github.com/k2inno-tech/jupyter-genomics,Collection of computation biology and bioinformatics notebooks.,False,https://github.com/k2inno-tech/jupyter-genomics
136,Biotechnological & Life Sciences,Genomics,Variant calling,https://github.com/google/deepvariant,Correctly identify variations from the reference genome in an individual's DNA.,False,https://github.com/google/deepvariant
137,Biotechnological & Life Sciences,Genomics,Gene Expression Graphs,https://github.com/mila-iqia/gene-graph-conv,Using convolutions on an image.,False,https://github.com/mila-iqia/gene-graph-conv
138,Biotechnological & Life Sciences,Genomics,Autoencoding Expression,https://github.com/greenelab/adage,Extracting relevant patterns from large sets of gene expression data,False,https://github.com/greenelab/adage
139,Biotechnological & Life Sciences,Genomics,Gene Expression Inference,https://github.com/uci-cbcl/D-GEX,"Predict the expression of specified target genes from a panel of about 1,000 pre-selected “landmark genes”.",False,https://github.com/uci-cbcl/D-GEX
